"","Crop","PlantingMonth","Release Field Month","SameYearRelease","CropMonth","CropMonthRelease","YieldPerUnitOfField","Field","Measure","Available","Year","CropMonthYear","CropMonthYearField","FieldYearMonthRelease","varID","Family","Is Annual or Perennial?","Is Same Crop As","Is Heavy Feeder?","Is Weed Contributor?","Is Nitrogen Fixer?","Is Cover Crop?","MonthsBetweenPlantings","MonthsInField"
"1","Potatoes - Early","Mar","May",TRUE,"Potatoes - Early-Mar","Potatoes - Early-5",2,"Row 1","Row Feet",25,"1","Potatoes - Early-Mar-1","Potatoes - Early-Mar-1-Row 1","Row 1-1-May","cpmy_1","Solanaceae","A","Potatoes","N","N","N","N",12,2
"2","Peppers","Apr","Aug",TRUE,"Peppers-Apr","Peppers-8",1.2,"Row 1","Row Feet",25,"1","Peppers-Apr-1","Peppers-Apr-1-Row 1","Row 1-1-Aug","cpmy_2","Solanaceae","A","Peppers","Y","Y","N","N",12,4
"3","Potatoes - Early","Mar","May",TRUE,"Potatoes - Early-Mar","Potatoes - Early-5",2,"Row 1","Row Feet",25,"2","Potatoes - Early-Mar-2","Potatoes - Early-Mar-2-Row 1","Row 1-2-May","cpmy_3","Solanaceae","A","Potatoes","N","N","N","N",12,2
"4","Peppers","Apr","Aug",TRUE,"Peppers-Apr","Peppers-8",1.2,"Row 1","Row Feet",25,"2","Peppers-Apr-2","Peppers-Apr-2-Row 1","Row 1-2-Aug","cpmy_4","Solanaceae","A","Peppers","Y","Y","N","N",12,4
"5","Potatoes - Early","Mar","May",TRUE,"Potatoes - Early-Mar","Potatoes - Early-5",2,"Row 1","Row Feet",25,"3","Potatoes - Early-Mar-3","Potatoes - Early-Mar-3-Row 1","Row 1-3-May","cpmy_5","Solanaceae","A","Potatoes","N","N","N","N",12,2
"6","Peppers","Apr","Aug",TRUE,"Peppers-Apr","Peppers-8",1.2,"Row 1","Row Feet",25,"3","Peppers-Apr-3","Peppers-Apr-3-Row 1","Row 1-3-Aug","cpmy_6","Solanaceae","A","Peppers","Y","Y","N","N",12,4
"7","Potatoes - Early","Mar","May",TRUE,"Potatoes - Early-Mar","Potatoes - Early-5",2,"Row 1","Row Feet",25,"4","Potatoes - Early-Mar-4","Potatoes - Early-Mar-4-Row 1","Row 1-4-May","cpmy_7","Solanaceae","A","Potatoes","N","N","N","N",12,2
"8","Peppers","Apr","Aug",TRUE,"Peppers-Apr","Peppers-8",1.2,"Row 1","Row Feet",25,"4","Peppers-Apr-4","Peppers-Apr-4-Row 1","Row 1-4-Aug","cpmy_8","Solanaceae","A","Peppers","Y","Y","N","N",12,4
"9","Potatoes - Early","Mar","May",TRUE,"Potatoes - Early-Mar","Potatoes - Early-5",2,"Row 2","Row Feet",25,"1","Potatoes - Early-Mar-1","Potatoes - Early-Mar-1-Row 2","Row 2-1-May","cpmy_9","Solanaceae","A","Potatoes","N","N","N","N",12,2
"10","Peppers","Apr","Aug",TRUE,"Peppers-Apr","Peppers-8",1.2,"Row 2","Row Feet",25,"1","Peppers-Apr-1","Peppers-Apr-1-Row 2","Row 2-1-Aug","cpmy_10","Solanaceae","A","Peppers","Y","Y","N","N",12,4
"11","Potatoes - Early","Mar","May",TRUE,"Potatoes - Early-Mar","Potatoes - Early-5",2,"Row 2","Row Feet",25,"2","Potatoes - Early-Mar-2","Potatoes - Early-Mar-2-Row 2","Row 2-2-May","cpmy_11","Solanaceae","A","Potatoes","N","N","N","N",12,2
"12","Peppers","Apr","Aug",TRUE,"Peppers-Apr","Peppers-8",1.2,"Row 2","Row Feet",25,"2","Peppers-Apr-2","Peppers-Apr-2-Row 2","Row 2-2-Aug","cpmy_12","Solanaceae","A","Peppers","Y","Y","N","N",12,4
"13","Potatoes - Early","Mar","May",TRUE,"Potatoes - Early-Mar","Potatoes - Early-5",2,"Row 2","Row Feet",25,"3","Potatoes - Early-Mar-3","Potatoes - Early-Mar-3-Row 2","Row 2-3-May","cpmy_13","Solanaceae","A","Potatoes","N","N","N","N",12,2
"14","Peppers","Apr","Aug",TRUE,"Peppers-Apr","Peppers-8",1.2,"Row 2","Row Feet",25,"3","Peppers-Apr-3","Peppers-Apr-3-Row 2","Row 2-3-Aug","cpmy_14","Solanaceae","A","Peppers","Y","Y","N","N",12,4
"15","Potatoes - Early","Mar","May",TRUE,"Potatoes - Early-Mar","Potatoes - Early-5",2,"Row 2","Row Feet",25,"4","Potatoes - Early-Mar-4","Potatoes - Early-Mar-4-Row 2","Row 2-4-May","cpmy_15","Solanaceae","A","Potatoes","N","N","N","N",12,2
"16","Peppers","Apr","Aug",TRUE,"Peppers-Apr","Peppers-8",1.2,"Row 2","Row Feet",25,"4","Peppers-Apr-4","Peppers-Apr-4-Row 2","Row 2-4-Aug","cpmy_16","Solanaceae","A","Peppers","Y","Y","N","N",12,4
