"","Crop","PlantingMonth","Release Field Month","SameYearRelease","CropMonth","CropMonthRelease","YieldPerUnitOfField","Field","Measure","Available","Year","CropMonthYear","CropMonthYearField","FieldYearMonthRelease","varID","Family","Is Annual or Perennial?","Is Same Crop As","Is Heavy Feeder?","Is Weed Contributor?","Is Nitrogen Fixer?","Is Cover Crop?","MonthsBetweenPlantings","MonthsInField"
"1","Potatoes - Early","Mar","May",TRUE,"Potatoes - Early-Mar","Potatoes - Early-5",2,"Row 1","Row Feet",25,"1","Potatoes - Early-Mar-1","Potatoes - Early-Mar-1-Row 1","Row 1-1-May","cpmy_1","Solanaceae","A","Potatoes","N","N","N","N",12,2
"2","Peppers","Apr","Aug",TRUE,"Peppers-Apr","Peppers-8",1.2,"Row 1","Row Feet",25,"1","Peppers-Apr-1","Peppers-Apr-1-Row 1","Row 1-1-Aug","cpmy_2","Solanaceae","A","Peppers","Y","Y","N","N",12,4
"3","Potatoes - Early","Apr","Jun",TRUE,"Potatoes - Early-Apr","Potatoes - Early-6",2,"Row 1","Row Feet",25,"1","Potatoes - Early-Apr-1","Potatoes - Early-Apr-1-Row 1","Row 1-1-Jun","cpmy_3","Solanaceae","A","Potatoes","N","N","N","N",12,2
"4","Peppers","May","Sep",TRUE,"Peppers-May","Peppers-9",1.2,"Row 1","Row Feet",25,"1","Peppers-May-1","Peppers-May-1-Row 1","Row 1-1-Sep","cpmy_4","Solanaceae","A","Peppers","Y","Y","N","N",12,4
"5","Potatoes - Early","May","Jul",TRUE,"Potatoes - Early-May","Potatoes - Early-7",2,"Row 1","Row Feet",25,"1","Potatoes - Early-May-1","Potatoes - Early-May-1-Row 1","Row 1-1-Jul","cpmy_5","Solanaceae","A","Potatoes","N","N","N","N",12,2
"6","Potatoes - Early","Mar","May",TRUE,"Potatoes - Early-Mar","Potatoes - Early-5",2,"Row 1","Row Feet",25,"2","Potatoes - Early-Mar-2","Potatoes - Early-Mar-2-Row 1","Row 1-2-May","cpmy_6","Solanaceae","A","Potatoes","N","N","N","N",12,2
"7","Peppers","Apr","Aug",TRUE,"Peppers-Apr","Peppers-8",1.2,"Row 1","Row Feet",25,"2","Peppers-Apr-2","Peppers-Apr-2-Row 1","Row 1-2-Aug","cpmy_7","Solanaceae","A","Peppers","Y","Y","N","N",12,4
"8","Potatoes - Early","Apr","Jun",TRUE,"Potatoes - Early-Apr","Potatoes - Early-6",2,"Row 1","Row Feet",25,"2","Potatoes - Early-Apr-2","Potatoes - Early-Apr-2-Row 1","Row 1-2-Jun","cpmy_8","Solanaceae","A","Potatoes","N","N","N","N",12,2
"9","Peppers","May","Sep",TRUE,"Peppers-May","Peppers-9",1.2,"Row 1","Row Feet",25,"2","Peppers-May-2","Peppers-May-2-Row 1","Row 1-2-Sep","cpmy_9","Solanaceae","A","Peppers","Y","Y","N","N",12,4
"10","Potatoes - Early","May","Jul",TRUE,"Potatoes - Early-May","Potatoes - Early-7",2,"Row 1","Row Feet",25,"2","Potatoes - Early-May-2","Potatoes - Early-May-2-Row 1","Row 1-2-Jul","cpmy_10","Solanaceae","A","Potatoes","N","N","N","N",12,2
"11","Potatoes - Early","Mar","May",TRUE,"Potatoes - Early-Mar","Potatoes - Early-5",2,"Row 1","Row Feet",25,"3","Potatoes - Early-Mar-3","Potatoes - Early-Mar-3-Row 1","Row 1-3-May","cpmy_11","Solanaceae","A","Potatoes","N","N","N","N",12,2
"12","Peppers","Apr","Aug",TRUE,"Peppers-Apr","Peppers-8",1.2,"Row 1","Row Feet",25,"3","Peppers-Apr-3","Peppers-Apr-3-Row 1","Row 1-3-Aug","cpmy_12","Solanaceae","A","Peppers","Y","Y","N","N",12,4
"13","Potatoes - Early","Apr","Jun",TRUE,"Potatoes - Early-Apr","Potatoes - Early-6",2,"Row 1","Row Feet",25,"3","Potatoes - Early-Apr-3","Potatoes - Early-Apr-3-Row 1","Row 1-3-Jun","cpmy_13","Solanaceae","A","Potatoes","N","N","N","N",12,2
"14","Peppers","May","Sep",TRUE,"Peppers-May","Peppers-9",1.2,"Row 1","Row Feet",25,"3","Peppers-May-3","Peppers-May-3-Row 1","Row 1-3-Sep","cpmy_14","Solanaceae","A","Peppers","Y","Y","N","N",12,4
"15","Potatoes - Early","May","Jul",TRUE,"Potatoes - Early-May","Potatoes - Early-7",2,"Row 1","Row Feet",25,"3","Potatoes - Early-May-3","Potatoes - Early-May-3-Row 1","Row 1-3-Jul","cpmy_15","Solanaceae","A","Potatoes","N","N","N","N",12,2
"16","Potatoes - Early","Mar","May",TRUE,"Potatoes - Early-Mar","Potatoes - Early-5",2,"Row 1","Row Feet",25,"4","Potatoes - Early-Mar-4","Potatoes - Early-Mar-4-Row 1","Row 1-4-May","cpmy_16","Solanaceae","A","Potatoes","N","N","N","N",12,2
"17","Peppers","Apr","Aug",TRUE,"Peppers-Apr","Peppers-8",1.2,"Row 1","Row Feet",25,"4","Peppers-Apr-4","Peppers-Apr-4-Row 1","Row 1-4-Aug","cpmy_17","Solanaceae","A","Peppers","Y","Y","N","N",12,4
