Problem:    
Rows:       6374
Columns:    1664
Non-zeros:  34364
Status:     OPTIMAL
Objective:  Z = 80000 (MINimum)

   No.   Row name   St   Activity     Lower bound   Upper bound    Marginal
------ ------------ -- ------------- ------------- ------------- -------------
     1 c_uf_1       B              1                           1 
     2 c_uf_2       B              1                           1 
     3 c_uf_3       B              1                           1 
     4 c_uf_4       B              1                           1 
     5 c_uf_5       B              1                           1 
     6 c_uf_6       B              1                           1 
     7 c_uf_7       B              1                           1 
     8 c_uf_8       B              1                           1 
     9 c_uf_9       B              1                           1 
    10 c_uf_10      B              1                           1 
    11 c_uf_11      NU             0                           0       -141667 
    12 c_uf_12      NU             0                           0       -127778 
    13 c_uf_13      NU             0                           0       -108333 
    14 c_uf_14      NU             0                           0       -125000 
    15 c_uf_15      NU             0                           0       -140000 
    16 c_uf_16      NU             0                           0       -115000 
    17 c_uf_17      NU             0                           0        -50000 
    18 c_uf_18      NU             0                           0       -128889 
    19 c_uf_19      NU             0                           0       -113333 
    20 c_uf_20      NU             0                           0       -116667 
    21 c_uf_21      NU             0                           0       -100000 
    22 c_uf_22      NU             0                           0      -77777.8 
    23 c_uf_23      NU             0                           0      -66666.7 
    24 c_uf_24      NU             0                           0      -83333.3 
    25 c_uf_25      NU             0                           0        -90000 
    26 c_uf_26      NU             0                           0        -65000 
    27 c_uf_27      NU             0                           0      -83333.3 
    28 c_uf_28      NU             0                           0      -83333.3 
    29 c_uf_29      NU             0                           0      -73333.3 
    30 c_uf_30      NU             0                           0        -75000 
    31 c_uf_31      NU             0                           0        -50000 
    32 c_uf_32      NU             0                           0      -33333.3 
    33 c_uf_33      NU             0                           0        -25000 
    34 c_uf_34      NU             0                           0        -50000 
    35 c_uf_35      NU             0                           0        -40000 
    36 c_uf_36      NU             0                           0        -25000 
    37 c_uf_37      NU             0                           0      -33333.3 
    38 c_uf_38      NU             0                           0        -50000 
    39 c_uf_39      NU             0                           0        -40000 
    40 c_uf_40      NU             0                           0        -25000 
    41 c_uf_41      NU             0                           0         < eps
    42 c_uf_42      NU             0                           0         < eps
    43 c_uf_43      NU             0                           0         < eps
    44 c_uf_44      NU             0                           0         < eps
    45 c_uf_45      NU             0                           0         < eps
    46 c_uf_46      NU             0                           0         < eps
    47 c_uf_47      NU             0                           0         < eps
    48 c_uf_48      NU             0                           0         < eps
    49 c_uf_49      NU             0                           0         < eps
    50 c_uf_50      NU             0                           0         < eps
    51 c_uf_51      NU             0                           0       -141667 
    52 c_uf_52      NU             0                           0       -127778 
    53 c_uf_53      NU             0                           0       -108333 
    54 c_uf_54      NU             0                           0       -125000 
    55 c_uf_55      NU             0                           0       -140000 
    56 c_uf_56      NU             0                           0       -115000 
    57 c_uf_57      NU             0                           0        -50000 
    58 c_uf_58      NU             0                           0       -128889 
    59 c_uf_59      NU             0                           0       -113333 
    60 c_uf_60      NU             0                           0       -116667 
    61 c_uf_61      NU             0                           0       -100000 
    62 c_uf_62      NU             0                           0      -77777.8 
    63 c_uf_63      NU             0                           0      -66666.7 
    64 c_uf_64      NU             0                           0      -83333.3 
    65 c_uf_65      NU             0                           0        -90000 
    66 c_uf_66      NU             0                           0        -65000 
    67 c_uf_67      NU             0                           0      -83333.3 
    68 c_uf_68      NU             0                           0      -83333.3 
    69 c_uf_69      NU             0                           0      -73333.3 
    70 c_uf_70      NU             0                           0        -75000 
    71 c_uf_71      NU             0                           0        -50000 
    72 c_uf_72      NU             0                           0      -33333.3 
    73 c_uf_73      NU             0                           0        -25000 
    74 c_uf_74      NU             0                           0        -50000 
    75 c_uf_75      NU             0                           0        -40000 
    76 c_uf_76      NU             0                           0        -25000 
    77 c_uf_77      NU             0                           0      -33333.3 
    78 c_uf_78      NU             0                           0        -50000 
    79 c_uf_79      NU             0                           0        -40000 
    80 c_uf_80      NU             0                           0        -25000 
    81 c_uf_81      NU             0                           0       -166667 
    82 c_uf_82      NU             0                           0       -152778 
    83 c_uf_83      NU             0                           0       -136111 
    84 c_uf_84      NU             0                           0       -152778 
    85 c_uf_85      NU             0                           0       -170000 
    86 c_uf_86      NU             0                           0       -140000 
    87 c_uf_87      NU             0                           0        -75000 
    88 c_uf_88      NU             0                           0       -158889 
    89 c_uf_89      NU             0                           0       -143333 
    90 c_uf_90      NU             0                           0       -141667 
    91 c_uf_91      NU             0                           0       -141667 
    92 c_uf_92      NU             0                           0       -127778 
    93 c_uf_93      NU             0                           0       -108333 
    94 c_uf_94      NU             0                           0       -125000 
    95 c_uf_95      NU             0                           0       -140000 
    96 c_uf_96      NU             0                           0       -115000 
    97 c_uf_97      NU             0                           0        -50000 
    98 c_uf_98      NU             0                           0       -128889 
    99 c_uf_99      NU             0                           0       -113333 
   100 c_uf_100     NU             0                           0       -116667 
   101 c_uf_101     NU             0                           0       -100000 
   102 c_uf_102     NU             0                           0      -77777.8 
   103 c_uf_103     NU             0                           0      -66666.7 
   104 c_uf_104     NU             0                           0      -83333.3 
   105 c_uf_105     NU             0                           0        -90000 
   106 c_uf_106     NU             0                           0        -65000 
   107 c_uf_107     NU             0                           0      -83333.3 
   108 c_uf_108     NU             0                           0      -83333.3 
   109 c_uf_109     NU             0                           0      -73333.3 
   110 c_uf_110     NU             0                           0        -75000 
   111 c_uf_111     NU             0                           0        -50000 
   112 c_uf_112     NU             0                           0      -33333.3 
   113 c_uf_113     NU             0                           0        -25000 
   114 c_uf_114     NU             0                           0        -50000 
   115 c_uf_115     NU             0                           0        -40000 
   116 c_uf_116     NU             0                           0        -25000 
   117 c_uf_117     NU             0                           0      -33333.3 
   118 c_uf_118     NU             0                           0        -50000 
   119 c_uf_119     NU             0                           0        -40000 
   120 c_uf_120     NU             0                           0        -25000 
   121 c_uf_121     NU             0                           0       -166667 
   122 c_uf_122     NU             0                           0       -152778 
   123 c_uf_123     NU             0                           0       -136111 
   124 c_uf_124     NU             0                           0       -152778 
   125 c_uf_125     NU             0                           0       -170000 
   126 c_uf_126     NU             0                           0       -140000 
   127 c_uf_127     NU             0                           0        -75000 
   128 c_uf_128     NU             0                           0       -158889 
   129 c_uf_129     NU             0                           0       -143333 
   130 c_uf_130     NU             0                           0       -141667 
   131 c_uf_131     NU             0                           0       -141667 
   132 c_uf_132     NU             0                           0       -127778 
   133 c_uf_133     NU             0                           0       -108333 
   134 c_uf_134     NU             0                           0       -125000 
   135 c_uf_135     NU             0                           0       -140000 
   136 c_uf_136     NU             0                           0       -115000 
   137 c_uf_137     NU             0                           0        -50000 
   138 c_uf_138     NU             0                           0       -128889 
   139 c_uf_139     NU             0                           0       -113333 
   140 c_uf_140     NU             0                           0       -116667 
   141 c_uf_141     NU             0                           0       -100000 
   142 c_uf_142     NU             0                           0      -77777.8 
   143 c_uf_143     NU             0                           0      -66666.7 
   144 c_uf_144     NU             0                           0      -83333.3 
   145 c_uf_145     NU             0                           0        -90000 
   146 c_uf_146     NU             0                           0        -65000 
   147 c_uf_147     NU             0                           0      -83333.3 
   148 c_uf_148     NU             0                           0      -83333.3 
   149 c_uf_149     NU             0                           0      -73333.3 
   150 c_uf_150     NU             0                           0        -75000 
   151 c_uf_151     NU             0                           0        -50000 
   152 c_uf_152     NU             0                           0      -33333.3 
   153 c_uf_153     NU             0                           0        -25000 
   154 c_uf_154     NU             0                           0        -50000 
   155 c_uf_155     NU             0                           0        -40000 
   156 c_uf_156     NU             0                           0        -25000 
   157 c_uf_157     NU             0                           0      -33333.3 
   158 c_uf_158     NU             0                           0        -50000 
   159 c_uf_159     NU             0                           0        -40000 
   160 c_uf_160     NU             0                           0        -25000 
   161 c_uf_161     NU             0                           0       -166667 
   162 c_uf_162     NU             0                           0       -152778 
   163 c_uf_163     NU             0                           0       -136111 
   164 c_uf_164     NU             0                           0       -152778 
   165 c_uf_165     NU             0                           0       -170000 
   166 c_uf_166     NU             0                           0       -140000 
